promotion_id,country,cycle,N��mero de eve
6a23e2e5-d332-4988-bc06-7c98e1eb1601,AR,202604,1
7c2d3334-22f8-43d3-a35a-183783a621bf,AR,202604,1
7cddb882-5142-4693-8d13-412bb245f86f,AR,202604,1
9555362d-eaa3-4598-969a-6998c1331239,AR,202604,1
9c7b34ab-8495-4ec4-ac52-cfdeca306766,AR,202604,1
9db35ce1-53b0-4a46-8edc-62df173f9a82,AR,202604,1
aba2af7a-2ed4-4139-9905-a22f1e2ea242,AR,202605,1
ae0f6751-148d-4ed9-a23d-2b6e27704be2,AR,202603,1
cd64aadb-3b06-49ad-8b87-63f3eacf61aa,AR,202604,1
e432eb25-7f2a-40bb-9484-a632339a2ccf,AR,202604,1
e8cc429d-8893-42ed-93c5-f55ff82941d7,AR,202603,1
eaf297d1-13ec-4cc2-93d0-ee26c595c253,AR,202604,1
f30402b5-c001-49a2-ac85-3ca9b8cfd2c0,AR,202604,1
f30402b5-c001-49a2-ac85-3ca9b8cfd2c0,AR,202605,1
f3f309e1-ecb8-4c73-a6dd-20f588baa6fc,AR,202605,1
f5845029-a42d-46bd-be98-774b9817695d,AR,202604,1
f9c8fdf3-3b53-4e6a-8e6e-752c766257ff,AR,202604,1
fc4ff4f1-84c1-4fa0-bc5e-f1a459abb62e,AR,202604,1
fcfd99a5-865a-41ad-ba54-8789b428fa02,AR,202603,1
