promotion_id,country,cycle,N��mero de eve
027dc446-5f38-4074-93fb-02283ce1b16a,AR,202604,3
662bf873-e3a9-4b6a-8616-0f112c122da7,AR,202604,3
c37b2c38-e074-495c-8c4e-4026dc3ef9f1,AR,202602,3
0ba108f6-8575-447c-902e-346a0e67a8dd,AR,202604,2
0eec4ce5-7c0f-42fc-bd53-acc1fecb69d5,AR,202604,2
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202603,2
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202605,2
b1dde1ee-cb01-4e05-b9be-dd9c3b012a51,AR,202603,2
c893d271-d97c-4229-b032-91e50a14cf0a,AR,202604,2
e713473c-3732-4c30-993a-d60db7bfaa0c,AR,202604,2
31bb81ae-0ca0-4f5f-a401-fbf636807439,AR,202603,1
4e47b85a-845a-4be7-b091-6d8cae14f175,AR,202515,1
5dc415e2-cacb-456d-b1cf-28179292d1ea,AR,202604,1
66ce5c8f-951d-46be-add8-6b110b6c0796,AR,202604,1
6d57d25b-4178-4276-9992-72f51f4a0a0b,AR,202604,1
7116c653-cfac-44b1-ba95-e5074a4a5423,AR,202604,1
a091a5a0-181d-4f1a-81b1-f8b891384a7c,AR,202603,1
a091a5a0-181d-4f1a-81b1-f8b891384a7c,AR,202605,1
f9c8fdf3-3b53-4e6a-8e6e-752c766257ff,AR,202604,1
fcfd99a5-865a-41ad-ba54-8789b428fa02,AR,202605,1
